,Transaction ID,Customer ID,Payment_Mode
0,10000011,29290,Card
1,10000012,27703,Card
2,10000013,28712,Cash
3,10000014,28020,Cash
4,10000015,27182,Card
5,10000016,27318,Cash
6,10000017,33788,Card
7,10000018,34106,Card
8,10000019,59799,Cash
9,10000020,57982,Cash
10,10000021,58774,Cash
11,10000022,58627,Card
12,10000023,59007,Card
13,10000024,58215,Cash
14,10000025,59372,Cash
15,10000026,57950,Cash
16,10000027,59533,Card
17,10000028,58346,Cash
18,10000029,58925,Card
19,10000030,58551,Card
20,10000031,59804,Card
21,10000032,57200,Card
22,10000033,57931,Cash
23,10000034,3077,Cash
24,10000035,4734,Card
25,10000036,4004,Card
26,10000037,5528,Card
27,10000038,5785,Card
28,10000039,3714,Cash
29,10000040,3746,Card
30,10000041,4289,Card
31,10000042,5777,Cash
32,10000043,3571,Card
33,10000044,4779,Cash
34,10000045,5734,Card
35,10000046,5734,Cash
36,10000047,3051,Card
37,10000048,5915,Card
38,10000049,5628,Cash
39,10000050,3125,Cash
40,10000051,4813,Cash
41,10000052,4682,Cash
42,10000053,3787,Cash
43,10000054,5029,Card
44,10000055,3600,Cash
45,10000056,4606,Card
46,10000057,3546,Cash
47,10000058,5707,Card
48,10000059,4457,Cash
49,10000060,3330,Card
50,10000061,5094,Card
51,10000062,5284,Cash
52,10000063,5741,Cash
53,10000064,25949,Card
54,10000065,24086,Card
55,10000066,25155,Card
56,10000067,25247,Cash
57,10000068,24530,Cash
58,10000069,24144,Cash
59,10000070,30718,Cash
60,10000071,30769,Cash
61,10000072,31634,Card
62,10000073,30725,Cash
63,10000074,8693,Card
64,10000075,8354,Cash
65,10000076,8953,Cash
66,10000077,7409,Cash
67,10000078,8448,Card
68,10000079,7598,Cash
69,10000080,7475,Card
70,10000081,8197,Card
71,10000082,8159,Card
72,10000083,8543,Cash
73,10000084,8702,Cash
74,10000085,8661,Card
75,10000086,8624,Cash
76,10000087,6318,Card
77,10000088,8420,Cash
78,10000089,7309,Card
79,10000090,8091,Card
80,10000091,6940,Card
81,10000092,8927,Card
82,10000093,7002,Cash
83,10000094,8555,Cash
84,10000095,6214,Cash
85,10000096,8927,Cash
86,10000097,6068,Card
87,10000098,8125,Card
88,10000099,7723,Cash
89,10000100,8773,Card
90,10000101,8488,Card
91,10000102,7277,Cash
92,10000103,7342,Card
93,10000104,8820,Card
94,10000105,8069,Card
95,10000106,7317,Card
96,10000107,6343,Card
97,10000108,6941,Cash
98,10000109,7974,Cash
99,10000110,8294,Card
100,10000111,7355,Card
101,10000112,7451,Cash
102,10000113,7924,Cash
103,10000114,6458,Cash
104,10000115,6017,Card
105,10000116,7615,Cash
106,10000117,6236,Card
107,10000118,7432,Cash
108,10000119,7199,Card
109,10000120,7388,Card
110,10000121,8745,Cash
111,10000122,6437,Cash
112,10000123,7928,Card
113,10000124,6465,Card
114,10000125,6249,Cash
115,10000126,7836,Cash
116,10000127,7539,Card
117,10000128,7940,Card
118,10000129,8600,Card
119,10000130,8846,Card
120,10000131,8751,Cash
121,10000132,8586,Cash
122,10000133,7927,Cash
123,10000134,11224,Card
124,10000135,9584,Card
125,10000136,11646,Cash
126,10000137,55370,Cash
127,10000138,54452,Card
128,10000139,2416,Cash
129,10000140,2060,Card
130,10000141,1451,Card
131,10000142,1609,Card
132,10000143,2927,Cash
133,10000144,2626,Card
134,10000145,502,Cash
135,10000146,2571,Card
136,10000147,769,Cash
137,10000148,373,Cash
138,10000149,533,Card
139,10000150,1217,Cash
140,10000151,2039,Cash
141,10000152,590,Cash
142,10000153,2828,Card
143,10000154,98,Cash
144,10000155,591,Cash
145,10000156,2146,Card
146,10000157,16700,Cash
147,10000158,15732,Card
148,10000159,15400,Card
149,10000160,16786,Card
150,10000161,17470,Cash
151,10000162,15487,Cash
152,10000163,22557,Cash
153,10000164,22469,Card
154,10000165,50246,Cash
155,10000166,48443,Cash
156,10000167,47364,Card
157,10000168,46934,Cash
158,10000169,45834,Card
159,10000170,20330,Cash
160,10000171,20687,Cash
161,10000172,20206,Card
162,10000173,19851,Card
163,10000174,18893,Card
164,10000175,18179,Card
165,10000176,18556,Card
166,10000177,20552,Card
167,10000178,19699,Card
168,10000179,19462,Card
169,10000180,19038,Cash
170,10000181,18849,Cash
171,10000182,18418,Cash
172,10000183,20760,Card
173,10000184,20474,Card
174,10000185,18656,Card
175,10000186,18865,Card
176,10000187,18817,Cash
177,10000188,19185,Card
178,10000189,18488,Cash
179,10000190,19961,Card
180,10000191,18498,Card
181,10000192,20869,Card
182,10000193,18241,Card
183,10000194,18314,Card
184,10000195,20752,Cash
185,10000196,20745,Cash
186,10000197,20848,Card
187,10000198,18363,Cash
188,10000199,18088,Cash
189,10000200,18798,Cash
190,10000201,18490,Card
191,10000202,18838,Card
192,10000203,43177,Card
193,10000204,44348,Cash
194,10000205,44599,Cash
195,10000206,44264,Cash
196,10000207,43369,Cash
197,10000208,44174,Card
198,10000209,42366,Cash
199,10000210,42276,Card
200,10000211,42899,Cash
201,10000212,42066,Card
202,10000213,42141,Card
203,10000214,43099,Card
204,10000215,44175,Cash
205,10000216,42641,Card
206,10000217,42039,Cash
207,10000218,44863,Card
208,10000219,43536,Card
209,10000220,42739,Card
210,10000221,42970,Card
211,10000222,43729,Card
212,10000223,42330,Card
