,Transaction ID,Customer ID,Payment_Mode
0,10000011,29290,Card
1,10000012,27703,Card
2,10000013,28712,Cash
3,10000014,28020,Cash
4,10000015,27182,Card
5,10000016,27318,Cash
6,10000017,33788,Card
7,10000018,34106,Card
8,10000019,59799,Cash
9,10000020,57982,Cash
10,10000021,58774,Cash
11,10000022,58627,Card
12,10000023,59007,Card
13,10000024,58215,Cash
14,10000025,59372,Cash
15,10000026,57950,Cash
16,10000027,59533,Card
17,10000028,58346,Cash
18,10000029,58925,Card
19,10000030,58551,Card
20,10000031,59804,Card
21,10000032,57200,Card
22,10000033,57931,Cash
23,10000034,3077,Cash
24,10000035,4734,Card
25,10000036,4004,Card
26,10000037,5528,Card
27,10000038,5785,Card
28,10000039,3714,Cash
29,10000040,3746,Card
30,10000041,4289,Card
31,10000042,5777,Cash
32,10000043,3571,Card
33,10000044,4779,Cash
34,10000045,5734,Card
