Customer ID,Gender,Age,Income (USD/Month)
29290,Male,28,10813
27703,Male,27,9237
28712,Male,53,11242
28020,Male,23,23327
27182,Male,33,8536
27318,Male,25,13984
33788,Male,23,23788
34106,Male,19,19980
59799,Male,33,19271
57982,Male,57,5068
58774,Male,20,23602
58627,Male,28,27338
59007,Male,63,6683
58215,Male,25,6862
59372,Male,53,4912
57950,Male,58,16997
59533,Male,29,17520
58346,Male,27,21650
58925,Male,38,26550
58551,Male,25,21734
59804,Male,31,4550
57200,Male,23,3268
57931,Male,40,5666
3077,Male,22,16759
4734,Male,33,30608
4004,Male,18,3896
5528,Male,34,14974
5785,Male,21,11230
3714,Male,33,4521
3746,Male,24,2371
4289,Male,19,28719
5777,Male,24,28850
3571,Male,44,15166
4779,Male,27,6416
5734,Male,23,22475
3051,Male,30,34757
5915,Male,26,24115
5628,Male,33,15231
3125,Male,25,9562
4813,Male,46,24809
4682,Male,62,6075
3787,Male,27,33382
5029,Male,53,3015
3600,Male,20,4277
4606,Male,27,8633
3546,Male,47,5340
5707,Male,20,15397
4457,Male,22,18960
3330,Male,46,5216
5094,Male,43,27243
5284,Male,53,5084
5741,Male,44,21700
25949,Male,32,31491
24086,Male,60,19410
25155,Male,27,10997
25247,Male,26,24178
24530,Male,47,10312
24144,Male,52,21243
30718,Male,52,20255
30769,Male,51,33152
31634,Male,47,2880
30725,Male,29,4437
8693,Male,21,15024
8354,Male,48,12229
8953,Male,38,10973
7409,Male,18,7182
8448,Male,62,7002
7598,Male,33,10791
7475,Male,52,21930
8197,Male,27,18995
8159,Male,40,12634
8543,Male,39,20564
8702,Male,20,3795
8661,Male,46,31986
8624,Male,45,24169
6318,Male,61,28764
8420,Male,30,3193
7309,Male,23,15247
8091,Male,23,21938
6940,Male,40,2067
8927,Male,19,17197
7002,Male,54,24555
8555,Male,27,8465
6214,Male,53,9447
6068,Male,33,8788
8125,Male,28,17969
7723,Male,58,2948
8773,Male,37,25735
8488,Male,52,4690
7277,Male,23,20528
7342,Male,30,31080
8820,Male,20,10416
8069,Male,22,13610
7317,Male,19,16209
6343,Male,42,17207
6941,Male,54,17067
7974,Male,41,21855
8294,Male,28,14024
7355,Male,31,6166
7451,Male,19,4391
7924,Male,26,23137
6458,Male,20,14682
6017,Male,35,22130
7615,Male,24,17363
6236,Male,61,12821
7432,Male,36,31294
7199,Male,31,20802
7388,Male,37,10894
8745,Male,26,13927
6437,Male,32,19793
7928,Male,36,14286
6465,Male,46,3249
6249,Male,31,12237
7836,Male,64,8890
7539,Male,40,24169
7940,Male,57,13452
8600,Male,28,7168
8846,Male,33,10251
8751,Male,34,17745
8586,Male,37,3513
7927,Male,62,14300
11224,Male,18,2913
9584,Male,31,22812
11646,Male,32,17133
55370,Male,27,12845
54452,Male,25,23628
2416,Male,28,21399
2060,Male,18,8149
1451,Male,35,23989
1609,Male,30,23036
2927,Male,33,14520
2626,Male,18,30401
502,Male,28,15285
2571,Male,33,4620
769,Male,63,29758
373,Male,27,5070
533,Male,52,15974
1217,Male,51,3122
2039,Male,32,19358
590,Male,62,18608
2828,Male,28,15198
98,Male,35,12557
591,Male,39,19842
2146,Male,31,16697
16700,Male,32,3161
15732,Male,38,15171
15400,Male,48,2363
16786,Male,55,20325
17470,Male,30,22310
15487,Male,64,4615
22557,Male,38,8808
22469,Male,37,4378
50246,Male,28,3616
48443,Male,64,3605
47364,Male,35,11059
46934,Male,46,18329
45834,Male,23,19821
20330,Male,53,28591
20687,Male,39,8926
20206,Male,18,24295
19851,Male,25,9085
18893,Male,39,7144
18179,Male,40,9175
18556,Male,24,29066
20552,Male,19,19174
19699,Male,38,15794
19462,Male,60,18407
19038,Male,39,11046
18849,Male,20,6780
