date,holiday_name,holiday,year,month,wday,weekend,long_holiday,school_break,dayno
2012-01-01,New Year Day,TRUE,2012,1,7,TRUE,TRUE,christmas_break,1
2012-01-02,FALSE,FALSE,2012,1,1,FALSE,FALSE,no_break,2
2012-01-03,FALSE,FALSE,2012,1,2,FALSE,FALSE,no_break,3
2012-01-04,FALSE,FALSE,2012,1,3,FALSE,FALSE,no_break,4
2012-01-05,FALSE,FALSE,2012,1,4,FALSE,FALSE,no_break,5
2012-01-06,FALSE,FALSE,2012,1,5,FALSE,FALSE,no_break,6
2012-01-07,FALSE,FALSE,2012,1,6,TRUE,FALSE,no_break,7
2012-01-08,FALSE,FALSE,2012,1,7,TRUE,FALSE,no_break,8
2012-01-09,FALSE,FALSE,2012,1,1,FALSE,FALSE,no_break,9
2012-01-10,FALSE,FALSE,2012,1,2,FALSE,FALSE,no_break,10
2012-01-11,FALSE,FALSE,2012,1,3,FALSE,FALSE,no_break,11
2012-01-12,FALSE,FALSE,2012,1,4,FALSE,FALSE,no_break,12
2012-01-13,FALSE,FALSE,2012,1,5,FALSE,FALSE,no_break,13
2012-01-14,FALSE,FALSE,2012,1,6,TRUE,TRUE,no_break,14
2012-01-15,FALSE,FALSE,2012,1,7,TRUE,TRUE,no_break,15
2012-01-16,Martin Luther King Jr. Day,TRUE,2012,1,1,FALSE,TRUE,no_break,16
2012-01-17,FALSE,FALSE,2012,1,2,FALSE,FALSE,no_break,17
2012-01-18,FALSE,FALSE,2012,1,3,FALSE,FALSE,no_break,18
2012-01-19,FALSE,FALSE,2012,1,4,FALSE,FALSE,no_break,19
2012-01-20,FALSE,FALSE,2012,1,5,FALSE,FALSE,no_break,20
2012-01-21,FALSE,FALSE,2012,1,6,TRUE,FALSE,no_break,21
2012-01-22,FALSE,FALSE,2012,1,7,TRUE,FALSE,no_break,22
2012-01-23,FALSE,FALSE,2012,1,1,FALSE,FALSE,no_break,23
2012-01-24,FALSE,FALSE,2012,1,2,FALSE,FALSE,no_break,24
2012-01-25,FALSE,FALSE,2012,1,3,FALSE,FALSE,no_break,25
2012-01-26,FALSE,FALSE,2012,1,4,FALSE,FALSE,no_break,26
2012-01-27,FALSE,FALSE,2012,1,5,FALSE,FALSE,no_break,27
2012-01-28,FALSE,FALSE,2012,1,6,TRUE,FALSE,no_break,28
2012-01-29,FALSE,FALSE,2012,1,7,TRUE,FALSE,no_break,29
2012-01-30,FALSE,FALSE,2012,1,1,FALSE,FALSE,no_break,30
2012-01-31,FALSE,FALSE,2012,1,2,FALSE,FALSE,no_break,31
2012-02-01,FALSE,FALSE,2012,2,3,FALSE,FALSE,no_break,1
2012-02-02,FALSE,FALSE,2012,2,4,FALSE,FALSE,no_break,2
2012-02-03,FALSE,FALSE,2012,2,5,FALSE,FALSE,no_break,3
2012-02-04,FALSE,FALSE,2012,2,6,TRUE,FALSE,no_break,4
2012-02-05,FALSE,FALSE,2012,2,7,TRUE,FALSE,no_break,5
2012-02-06,FALSE,FALSE,2012,2,1,FALSE,FALSE,no_break,6
2012-02-07,FALSE,FALSE,2012,2,2,FALSE,FALSE,no_break,7
2012-02-08,FALSE,FALSE,2012,2,3,FALSE,FALSE,no_break,8
2012-02-09,FALSE,FALSE,2012,2,4,FALSE,FALSE,no_break,9
2012-02-10,FALSE,FALSE,2012,2,5,FALSE,FALSE,no_break,10
2012-02-11,FALSE,FALSE,2012,2,6,TRUE,FALSE,no_break,11
2012-02-12,FALSE,FALSE,2012,2,7,TRUE,FALSE,no_break,12
2012-02-13,FALSE,FALSE,2012,2,1,FALSE,FALSE,no_break,13
2012-02-14,FALSE,FALSE,2012,2,2,FALSE,FALSE,no_break,14
2012-02-15,FALSE,FALSE,2012,2,3,FALSE,FALSE,no_break,15
2012-02-16,FALSE,FALSE,2012,2,4,FALSE,FALSE,no_break,16
2012-02-17,FALSE,FALSE,2012,2,5,FALSE,FALSE,no_break,17
2012-02-18,FALSE,FALSE,2012,2,6,TRUE,TRUE,mid_winter_break,18
2012-02-19,FALSE,FALSE,2012,2,7,TRUE,TRUE,mid_winter_break,19
2012-02-20,Presidents Day (Washingtons Birthday),TRUE,2012,2,1,FALSE,TRUE,mid_winter_break,20
2012-02-21,FALSE,FALSE,2012,2,2,FALSE,FALSE,mid_winter_break,21
2012-02-22,FALSE,FALSE,2012,2,3,FALSE,FALSE,mid_winter_break,22
2012-02-23,FALSE,FALSE,2012,2,4,FALSE,FALSE,no_break,23
2012-02-24,FALSE,FALSE,2012,2,5,FALSE,FALSE,no_break,24
2012-02-25,FALSE,FALSE,2012,2,6,TRUE,FALSE,no_break,25
2012-02-26,FALSE,FALSE,2012,2,7,TRUE,FALSE,no_break,26
2012-02-27,FALSE,FALSE,2012,2,1,FALSE,FALSE,no_break,27
2012-02-28,FALSE,FALSE,2012,2,2,FALSE,FALSE,no_break,28
2012-02-29,FALSE,FALSE,2012,2,3,FALSE,FALSE,no_break,29
2012-03-01,FALSE,FALSE,2012,3,4,FALSE,FALSE,no_break,1
2012-03-02,FALSE,FALSE,2012,3,5,FALSE,FALSE,no_break,2
2012-03-03,FALSE,FALSE,2012,3,6,TRUE,FALSE,no_break,3
2012-03-04,FALSE,FALSE,2012,3,7,TRUE,FALSE,no_break,4
2012-03-05,FALSE,FALSE,2012,3,1,FALSE,FALSE,no_break,5
