Yrs_Ed,Sthrn_Rgn,Sex,Yrs_Exprnc,Union,Wage,Age,Race,Occup,Sect,Marr
8,0,1,21,0,5.1,35,H,Other,Manf,1
9,0,1,42,0,4.95,57,W,Other,Manf,1
12,0,0,1,0,6.67,19,W,Other,Manf,0
12,0,0,4,0,4,22,W,Other,Other,0
12,0,0,17,0,7.5,35,W,Other,Other,1
13,0,0,9,1,13.07,28,W,Other,Other,0
10,1,0,27,0,4.45,43,W,Other,Other,0
12,0,0,9,0,19.47,27,W,Other,Other,0
16,0,0,11,0,13.28,33,W,Other,Manf,1
12,0,0,9,0,8.75,27,W,Other,Other,0
12,0,0,17,1,11.35,35,W,Other,Other,1
12,0,0,19,1,11.5,37,W,Other,Manf,0
8,1,0,27,0,6.5,41,W,Other,Other,1
9,1,0,30,1,6.25,45,W,Other,Other,0
9,1,0,29,0,19.98,44,W,Other,Other,1
12,0,0,37,0,7.3,55,W,Other,Con,1
7,1,0,44,0,8,57,W,Other,Other,1
12,0,0,26,1,22.2,44,W,Other,Manf,1
11,0,0,16,0,3.65,33,W,Other,Other,0
12,0,0,33,0,20.55,51,W,Other,Other,1
12,0,1,16,1,5.71,34,W,Other,Manf,1
7,0,0,42,1,7,55,O,Other,Manf,1
12,0,0,9,0,3.75,27,W,Other,Other,0
11,1,0,14,0,4.5,31,O,Other,Other,1
12,0,0,23,0,9.56,41,W,Other,Other,1
6,1,0,45,0,5.75,57,W,Other,Manf,1
12,0,0,8,0,9.36,26,W,Other,Manf,1
10,0,0,30,0,6.5,46,W,Other,Other,1
12,0,1,8,0,3.35,26,W,Other,Manf,1
12,0,0,8,0,4.75,26,W,Other,Other,1
14,0,0,13,0,8.9,33,W,Other,Other,0
12,1,1,46,0,4,64,W,Other,Other,0
8,0,0,19,0,4.7,33,W,Other,Other,1
17,1,1,1,0,5,24,W,Other,Other,0
12,0,0,19,0,9.25,37,W,Other,Manf,0
12,0,0,36,0,10.67,54,O,Other,Other,0
12,1,0,20,0,7.61,38,O,Other,Con,1
12,0,0,35,1,10,53,O,Other,Con,1
12,0,0,3,0,7.5,21,W,Other,Other,0
14,1,0,10,0,12.2,30,W,Other,Manf,1
12,0,0,0,0,3.35,18,W,Other,Other,0
14,1,0,14,1,11,34,W,Other,Manf,1
12,0,0,14,0,12,32,W,Other,Manf,1
9,0,1,16,0,4.85,31,W,Other,Manf,1
13,1,0,8,0,4.3,27,W,Other,Con,0
7,1,1,15,0,6,28,W,Other,Manf,1
16,0,0,12,0,15,34,W,Other,Manf,1
10,1,0,13,0,4.85,29,W,Other,Other,0
8,0,0,33,1,9,47,W,Other,Other,1
12,0,0,9,0,6.36,27,W,Other,Manf,1
12,0,0,7,0,9.15,25,W,Other,Other,1
16,0,0,13,1,11,35,W,Other,Manf,1
12,0,1,7,0,4.5,25,W,Other,Manf,1
12,0,1,16,0,4.8,34,W,Other,Manf,1
13,0,0,0,0,4,19,W,Other,Other,0
12,0,1,11,0,5.5,29,W,Other,Manf,0
13,0,0,17,0,8.4,36,W,Other,Manf,0
10,0,0,13,0,6.75,29,W,Other,Manf,1
12,0,0,22,1,10,40,O,Other,Manf,0
12,0,1,28,0,5,46,W,Other,Manf,1
11,0,0,17,0,6.5,34,W,Other,Other,0
12,0,0,24,1,10.75,42,W,Other,Con,1
3,1,0,55,0,7,64,H,Other,Manf,1
12,1,0,3,0,11.43,21,W,Other,Con,0
12,0,0,6,1,4,24,O,Other,Manf,0
10,0,0,27,0,9,43,W,Other,Con,1
12,1,0,19,1,13,37,O,Other,Manf,1
12,0,0,19,1,12.22,37,W,Other,Con,1
12,0,1,38,0,6.28,56,W,Other,Manf,1
10,1,0,41,1,6.75,57,O,Other,Manf,1
11,1,0,3,0,3.35,20,O,Other,Manf,0
14,0,0,20,1,16,40,W,Other,Other,1
10,0,0,15,0,5.25,31,W,Other,Other,1
8,1,0,8,0,3.5,22,H,Other,Manf,1
8,1,1,39,0,4.22,53,W,Other,Manf,1
6,0,1,43,1,3,55,H,Other,Manf,1
11,1,1,25,1,4,42,W,Other,Manf,1
12,0,0,11,1,10,29,W,Other,Other,1
12,0,0,12,0,5,30,O,Other,Other,1
12,1,0,35,1,16,53,W,Other,Manf,1
14,0,0,14,0,13.98,34,W,Other,Other,0
12,0,0,16,1,13.26,34,W,Other,Other,1
10,0,1,44,1,6.1,60,W,Other,Manf,0
16,1,1,13,0,3.75,35,W,Other,Other,0
13,0,0,8,1,9,27,O,Other,Manf,0
12,0,0,13,0,9.45,31,W,Other,Manf,0
11,0,0,18,1,5.5,35,W,Other,Other,1
12,0,1,18,0,8.93,36,W,Other,Other,1
12,1,1,6,0,6.25,24,W,Other,Other,0
11,1,0,37,1,9.75,54,W,Other,Manf,1
12,1,0,2,0,6.73,20,W,Other,Manf,1
12,0,0,23,0,7.78,41,W,Other,Manf,1
12,0,0,1,0,2.85,19,W,Other,Other,0
12,1,1,10,0,3.35,28,O,Other,Manf,1
12,0,0,23,0,19.98,41,W,Other,Manf,1
12,0,0,8,1,8.5,26,O,Other,Other,1
15,0,1,9,0,9.75,30,W,Other,Manf,1
12,0,0,33,1,15,51,W,Other,Con,1
12,0,1,19,0,8,37,W,Other,Manf,1
13,0,0,14,0,11.25,33,W,Other,Other,1
11,0,0,13,1,14,30,W,Other,Other,1
10,0,0,12,0,10,28,W,Other,Con,1
12,0,0,8,0,6.5,26,W,Other,Other,0
12,0,0,23,0,9.83,41,W,Other,Manf,1
14,0,1,13,0,18.5,33,W,Other,Manf,0
12,1,0,9,0,12.5,27,W,Other,Other,1
14,0,0,21,1,26,41,W,Other,Other,1
5,1,0,44,0,14,55,W,Other,Con,1
12,0,0,4,1,10.5,22,W,Other,Other,1
8,0,0,42,0,11,56,W,Other,Manf,1
13,0,0,10,1,12.47,29,W,Other,Other,1
12,0,0,11,0,12.5,29,W,Other,Con,0
12,0,0,40,1,15,58,W,Other,Con,1
12,0,0,8,0,6,26,W,Other,Con,0
11,1,0,29,0,9.5,46,W,Other,Con,1
16,0,0,3,1,5,25,W,Other,Other,0
11,0,0,11,0,3.75,28,W,Other,Con,0
12,0,0,12,1,12.57,30,W,Other,Other,1
8,0,1,22,0,6.88,36,H,Other,Other,1
12,0,0,12,0,5.5,30,W,Other,Other,1
12,0,0,7,1,7,25,W,Other,Other,1
12,0,1,15,0,4.5,33,W,Other,Manf,0
12,0,0,28,0,6.5,46,W,Other,Other,1
12,1,0,20,1,12,38,W,Other,Manf,1
12,1,0,6,0,5,24,W,Other,Con,0
12,1,0,5,0,6.5,23,W,Other,Manf,0
9,1,1,30,0,6.8,45,W,Other,Manf,1
13,0,0,18,0,8.75,37,W,Other,Other,1
12,1,1,6,0,3.75,24,O,Other,Manf,1
12,1,0,16,0,4.5,34,H,Other,Other,0
12,1,0,1,1,6,19,H,Other,Other,0
12,0,0,3,0,5.5,21,W,Other,Manf,0
12,0,0,8,0,13,26,W,Other,Other,1
14,0,0,2,0,5.65,22,W,Other,Manf,0
9,0,0,16,0,4.8,31,O,Other,Manf,0
10,1,0,9,0,7,25,W,Other,Con,1
12,0,0,2,0,5.25,20,W,Other,Other,0
7,1,0,43,0,3.35,56,W,Other,Manf,1
9,0,0,38,0,8.5,53,W,Other,Manf,1
12,0,0,9,0,6,27,W,Other,Other,1
12,1,0,12,0,6.75,30,W,Other,Other,1
12,0,0,18,0,8.89,36,W,Other,Manf,1
11,0,0,15,1,14.21,32,W,Other,Manf,0
11,1,0,28,1,10.78,45,O,Other,Con,1
10,1,0,27,1,8.9,43,W,Other,Con,1
12,1,0,38,0,7.5,56,W,Other,Other,1
12,0,1,3,0,4.5,21,W,Other,Manf,0
12,0,0,41,1,11.25,59,W,Other,Other,1
12,1,0,16,1,13.45,34,W,Other,Other,1
13,1,0,7,0,6,26,W,Other,Manf,1
6,1,1,33,0,4.62,45,O,Other,Manf,0
14,0,0,25,0,10.58,45,W,Other,Manf,1
12,1,0,5,0,5,23,W,Other,Other,1
14,1,0,17,0,8.2,37,O,Other,Other,0
12,1,0,1,0,6.25,19,W,Other,Other,0
12,0,0,13,0,8.5,31,W,Other,Manf,1
16,0,0,18,0,24.98,40,W,Mngmnt,Other,1
14,1,0,21,0,16.65,41,W,Mngmnt,Other,1
14,0,0,2,0,6.25,22,W,Mngmnt,Other,0
12,1,1,4,0,4.55,22,H,Mngmnt,Other,0
12,1,1,30,0,11.25,48,H,Mngmnt,Other,1
13,0,0,32,0,21.25,51,W,Mngmnt,Other,0
17,0,1,13,0,12.65,36,W,Mngmnt,Other,1
12,0,0,17,0,7.5,35,W,Mngmnt,Other,0
14,0,1,26,0,10.25,46,W,Mngmnt,Other,1
16,0,0,9,0,3.35,31,W,Mngmnt,Other,0
16,0,0,8,0,13.45,30,O,Mngmnt,Other,0
15,0,0,1,1,4.84,22,W,Mngmnt,Other,1
17,1,0,32,0,26.29,55,W,Mngmnt,Other,1
12,0,1,24,0,6.58,42,W,Mngmnt,Other,1
14,0,1,1,0,44.5,21,W,Mngmnt,Other,0
12,0,0,42,0,15,60,W,Mngmnt,Manf,1
16,0,1,3,0,11.25,25,O,Mngmnt,Manf,0
12,0,1,32,0,7,50,W,Mngmnt,Other,1
14,0,0,22,0,10,42,O,Mngmnt,Other,0
16,0,0,18,0,14.53,40,W,Mngmnt,Other,1
18,0,1,19,0,20,43,W,Mngmnt,Other,1
15,0,0,12,0,22.5,33,W,Mngmnt,Other,1
12,0,1,42,0,3.64,60,W,Mngmnt,Other,1
12,1,0,34,0,10.62,52,W,Mngmnt,Other,1
18,0,0,29,0,24.98,53,W,Mngmnt,Other,1
16,1,0,8,0,6,30,W,Mngmnt,Other,0
18,0,0,13,0,19,37,W,Mngmnt,Manf,0
16,0,0,10,0,13.2,32,W,Mngmnt,Other,0
16,0,0,22,0,22.5,44,W,Mngmnt,Other,1
16,1,0,10,0,15,32,W,Mngmnt,Other,1
17,0,1,15,0,6.88,38,W,Mngmnt,Other,1
12,0,0,26,0,11.84,44,W,Mngmnt,Other,1
14,0,0,16,0,16.14,36,W,Mngmnt,Other,0
18,0,1,14,0,13.95,38,W,Mngmnt,Other,1
12,0,1,38,0,13.16,56,W,Mngmnt,Other,1
12,1,0,14,0,5.3,32,O,Mngmnt,Other,1
12,0,1,7,0,4.5,25,W,Mngmnt,Other,1
18,1,1,13,0,10,37,W,Mngmnt,Other,0
10,0,0,20,0,10,36,W,Mngmnt,Other,1
16,0,0,7,1,10,29,H,Mngmnt,Other,1
16,0,1,26,0,9.37,48,W,Mngmnt,Other,1
16,0,0,14,0,5.8,36,W,Mngmnt,Other,1
13,0,0,36,0,17.86,55,W,Mngmnt,Other,0
12,0,0,24,0,1,42,W,Mngmnt,Other,1
14,1,0,41,0,8.8,61,W,Mngmnt,Other,1
16,0,0,7,0,9,29,O,Mngmnt,Other,1
17,1,0,14,0,18.16,37,W,Mngmnt,Other,0
12,1,1,1,0,7.81,19,W,Mngmnt,Other,0
16,0,1,6,0,10.62,28,W,Mngmnt,Manf,1
12,0,1,3,0,4.5,21,W,Mngmnt,Other,1
15,0,0,31,0,17.25,52,W,Mngmnt,Other,1
13,0,1,14,0,10.5,33,W,Mngmnt,Manf,1
14,0,1,13,0,9.22,33,W,Mngmnt,Other,1
16,0,0,26,1,15,48,O,Mngmnt,Manf,1
